,0
289,1.27338576317
290,0.930168271065
291,1.1153742075
292,1.4240591526
293,0.955238997936
294,0.905218720436
295,1.46715307236
296,0.942089557648
297,0.709984004498
298,0.476067066193
299,0.397082597017
300,0.988154232502
301,1.77166175842
302,1.17876982689
303,1.22235608101
304,1.14007306099
305,1.26991009712
306,1.22876286507
307,1.41169953346
308,1.61577916145
309,0.976620078087
310,0.785762667656
311,1.03360307217
312,1.62103915215
313,1.11243796349
314,0.401355832815
315,0.203669503331
316,0.725714921951
317,1.16608846188
318,1.3903901577
319,0.875519633293
320,1.11436665058
321,1.41110491753
322,1.31144583225
323,1.3935148716
324,1.0672339201
325,1.14188563824
326,1.24777555466
327,0.854939579964
328,2.75704717636
329,0.885428607464
330,1.87669599056
331,1.47233593464
332,1.35671365261
333,1.51561129093
334,1.16070067883
335,0.894445061684
336,1.88615834713
337,1.87900388241
338,0.750608384609
339,1.26601159573
340,1.12054097652
341,0.8938331604
342,0.793032944202
343,1.57168591022
344,1.11465239525
345,1.68589270115
346,0.7078166008
347,0.646683692932
348,0.283780038357
349,0.568757653236
350,1.11000561714
351,1.18472516537
352,0.36404722929
353,0.925677001476
354,0.816359341145
355,1.30378293991
356,0.341479837894
357,1.30901277065
358,1.22840166092
359,1.49882352352
360,0.749692797661
361,0.381105273962
362,0.923188686371
363,1.07074284554
364,1.22875857353
365,0.775490701199
366,1.63544523716
367,0.499195039272
368,1.30669522285
369,0.905382514
370,1.85346186161
371,0.68945902586
372,1.36413896084
373,1.12607514858
374,1.00132346153
375,1.60019910336
376,0.966619312763
377,2.14772415161
378,1.64925992489
379,0.693331480026
380,2.55214881897
381,0.56474083662
382,1.20023918152
383,1.2143163681
384,0.839572250843
385,1.0670645237
386,1.31518185139
387,1.04582881927
388,1.69562244415
389,0.626417040825
390,1.8286396265
391,1.13796555996
392,1.6587035656
393,0.648171544075
394,2.02520799637
395,0.50716149807
396,0.711980998516
397,1.15520048141
398,0.634711444378
399,1.80903506279
400,1.18257558346
401,1.24312722683
402,0.586572289467
403,0.546291470528
404,0.619766354561
405,0.966248869896
406,1.66493391991
407,0.83785867691
408,0.677568793297
409,0.529665112495
410,2.55132913589
